date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-04-16,6.3,3.3,2.85,-0.6,,,71,62.5,63.5,56,-2.1,-3.2,-3.9,-5.6,41,31.38,29,17,55,30,101.88,101.23,101.25,100.63,99.74,99.11,99.13,98.53,24100,24100,24100,24100,,,,,15.2,0,0,0,0,0,0,0,,06:34:00,1744799640,6.57,20:02:00,1744848120,20.03,13.47,2,3,7,7,-1,0,,,,,,8,6.2,4,0,,,,
2025-04-15,10.2,6.54,6.15,2.1,,,72,62.3,61,50,2.9,-0.2,0,-3,53,31.79,31,9,73,28,100.58,100.06,100.15,99.72,98.48,97.98,98.08,97.67,24100,24100,24100,24100,,,,,11.8,0,1.1,0,0,0,0,0,,06:35:00,1744713300,6.58,20:01:00,1744761660,20.02,13.43,2,2,10,10,0,1,,,,,,8,6.5,4,0,,,,
2025-04-14,15,10.57,10.15,5.3,,,87,58.2,64,41,7.3,2.5,2.7,-1.9,26,11.96,15.5,5,39,30,101.37,100.53,100.65,99.93,99.28,98.45,98.57,97.86,24100,23566.7,20100,16100,,,,,7.8,0,5.2,3.1,0.2,1.1,1.1,0,,06:37:00,1744627020,6.62,20:00:00,1744675200,20,13.38,5,6,12,13,5,7,,,,,,8,5.8,4,0,,,,
2025-04-13,14.9,7.97,6.65,-1.6,,-4,97,53.8,59,21,1.6,-2.4,-3.7,-9,20,9.25,10,0,,,102,101.72,101.67,101.34,99.86,99.6,99.56,99.25,24100,24100,24100,24100,,,,,11.3,0,1.6,0,0,0,0,0,,06:39:00,1744540740,6.65,19:58:00,1744588680,19.97,13.32,5,5,13,14,4,4,,,,,,6,3,3,0,,,,
2025-04-12,10.5,5.88,6.2,1.9,,,97,78.6,77.5,58,2.9,2.2,2,1.2,16,10.25,8,0,,,102.16,102.03,102.02,101.88,100.03,99.9,99.89,99.75,24100,24100,24100,24100,,,,,11.8,0,1.2,0,0,0,0,0,,06:40:00,1744454400,6.67,19:57:00,1744502220,19.95,13.28,3,5,11,11,1,1,,,,,,8,6.4,4.5,1,,,,
2025-04-11,4.9,2.93,3,1.1,,,100,94.8,92.5,85,3.8,2.1,2.5,1.1,25,17.5,18.5,12,32,36,102.17,102.03,102.01,101.86,100.02,99.89,99.87,99.72,24100,18433.3,16100,8100,,,,,15,0,0,0,0,0.4,0,0.4,,06:42:00,1744368120,6.7,19:56:00,1744415760,19.93,13.23,2,2,6,6,3,4,,,,,,8,8,8,8,,,,
2025-04-10,4.9,1.65,2.15,-0.6,,-3,100,81.2,78.5,57,1.6,-1.5,-1.5,-4.6,28,15.79,16,4,43,10,102.44,102.2,102.19,101.95,100.28,100.05,100.04,99.81,24100,16337.5,14450,4800,,,,,15.8,0,0,0,0,2.8,0.2,2.6,0,06:44:00,1744281840,6.73,19:55:00,1744329300,19.92,13.18,4,4,4,4,2,2,,,,,,8,7.4,5.5,3,,,,
2025-04-09,6.8,0,-0.3,-7.4,,-12,82,55.2,58,34,-5.9,-8.5,-8.8,-11.7,23,12.83,14,5,32,25,102.49,102.34,102.33,102.17,100.32,100.17,100.16,100,24100,24100,24100,24100,,,,,18.3,0,0,0,0,0,0,0,,06:46:00,1744195560,6.77,19:54:00,1744242840,19.9,13.13,5,5,6,6,-3,-1,,,,,,8,4.9,4,0,,,,
2025-04-08,1.5,-2.8,-2.35,-6.2,,-15,69,52.2,55.5,42,-9.7,-11.4,-11.7,-13.6,53,36.54,34.5,16,68,31,102.13,101.4,101.43,100.74,99.96,99.25,99.29,98.62,24100,23766.7,20100,16100,,,,,20.4,0,0,0,0,0,0,0,,06:47:00,1744109220,6.78,19:52:00,1744156320,19.87,13.08,3,4,0,0,-7,-4,,,,,,8,4.5,4,0,,,,
2025-04-07,7.6,2.02,1.79,-4,,-13,77,57.8,59.5,42,-0.7,-5.6,-5.2,-9.8,52,19.67,26,0,71,30,101.48,100.82,100.86,100.23,99.35,98.71,98.74,98.13,24100,24100,24100,24100,,,,,16.2,0,0,0,0,0,0,0,,06:49:00,1744022940,6.82,19:51:00,1744069860,19.85,13.03,5,5,8,8,-4,-4,,,,,,8,4.7,4.5,1,,,,
